1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1056,0.0569999999999999,0.9579,0.6204,0.0,0.8534999999999999,0.0282,0.2744999999999999,0.0042,0.0036,0.2166,0.4128,0.1412999999999999,0.0728999999999999,0.9471,0.2934,0.0569999999999999,0.9579,0.6204,0.0,0.8534999999999999,0.0282,0.2744999999999999,0.0042,0.0036,0.2166,0.4128,0.1412999999999999,0.0728999999999999,0.9471
0.1052999999999999,0.3762,3.5706,2.8491,0.1575,2.2314,2.0766,1.6596,0.8265,0.9813,1.1409,1.6734,0.7359,0.3993,3.0534,2.8755,0.3762,3.5706,2.8491,0.1575,2.2314,2.0766,1.6596,0.8265,0.9813,1.1409,1.6734,0.7359,0.3993,3.0534
0.7295999999999999,1.5356999999999998,6.024299999999999,5.3634,4.2885,4.1985,2.6853,2.3121,5.1126,2.2347,2.3391,2.6811,4.9434,0.8733,6.634799999999999,5.0244,1.5356999999999998,6.024299999999999,5.3634,4.2885,4.1985,2.6853,2.3121,5.1126,2.2347,2.3391,2.6811,4.9434,0.8733,6.634799999999999
1.9923,3.7971,8.3253,6.2925,1.362,5.5812,6.0816,1.6278,6.1902,3.8085,3.756,3.6459,7.116,1.5291,9.2994,5.251799999999999,3.7971,8.3253,6.2925,1.362,5.5812,6.0816,1.6278,6.1902,3.8085,3.756,3.6459,7.116,1.5291,9.2994
4.9443,3.6945,6.7311,7.6431,3.1308,5.6151,8.5146,0.8934,10.7646,6.8718,5.1135,4.896599999999999,9.7389,3.1842,10.7514,3.2778,3.6945,6.7311,7.6431,3.1308,5.6151,8.5146,0.8934,10.7646,6.8718,5.1135,4.896599999999999,9.7389,3.1842,10.7514
5.4165,4.4571,8.8332,7.779,1.9401,12.4788,8.3058,0.8739,10.4703,1.9422,5.3766,4.8414,8.9241,3.675,11.9976,4.9749,4.4571,8.8332,7.779,1.9401,12.4788,8.3058,0.8739,10.4703,1.9422,5.3766,4.8414,8.9241,3.675,11.9976
4.1082,2.1882,9.2982,5.3064,1.9914,13.0047,9.2496,0.8499,9.726,2.4168,3.6873,5.4849,12.4839,2.946,9.9543,8.811,2.1882,9.2982,5.3064,1.9914,13.0047,9.2496,0.8499,9.726,2.4168,3.6873,5.4849,12.4839,2.946,9.9543
0.9432,1.7541,8.444099999999999,8.0475,2.2731,12.9027,7.3461,7.832999999999999,12.2703,4.8918,6.331799999999999,3.7896,12.0657,7.6971,9.3564,10.161,1.7541,8.444099999999999,8.0475,2.2731,12.9027,7.3461,7.832999999999999,12.2703,4.8918,6.331799999999999,3.7896,12.0657,7.6971,9.3564
3.4857,2.2641,7.639799999999999,9.0378,3.0735,10.9569,5.447699999999999,9.0759,11.2881,4.2117,7.3122,3.864,8.8584,3.6594,6.9297,10.5669,2.2641,7.639799999999999,9.0378,3.0735,10.9569,5.447699999999999,9.0759,11.2881,4.2117,7.3122,3.864,8.8584,3.6594,6.9297
