Date_time;Water_value
26.03.2020 23:00;70
27.03.2020 23:00;70
28.03.2020 23:00;70
29.03.2020 22:00;70
30.03.2020 22:00;60
31.03.2020 22:00;60
01.04.2020 22:00;52
02.04.2020 22:00;52
03.04.2020 22:00;52
04.04.2020 22:00;52
05.04.2020 22:00;52
06.04.2020 22:00;52
07.04.2020 22:00;52
08.04.2020 22:00;52
09.04.2020 22:00;52
10.04.2020 22:00;52
11.04.2020 22:00;52
12.04.2020 22:00;52
13.04.2020 22:00;47
14.04.2020 22:00;47
15.04.2020 22:00;47
16.04.2020 22:00;47
17.04.2020 22:00;47
18.04.2020 22:00;47
19.04.2020 22:00;47
20.04.2020 22:00;47
21.04.2020 22:00;47
22.04.2020 22:00;47
23.04.2020 22:00;47
24.04.2020 22:00;47
25.04.2020 22:00;47
26.04.2020 22:00;60
27.04.2020 22:00;60
28.04.2020 22:00;60
29.04.2020 22:00;60
30.04.2020 22:00;60
01.05.2020 22:00;60
02.05.2020 22:00;60
03.05.2020 22:00;60
04.05.2020 22:00;14
05.05.2020 22:00;14
06.05.2020 22:00;14
07.05.2020 22:00;14
08.05.2020 22:00;14
09.05.2020 22:00;14
10.05.2020 22:00;14
11.05.2020 22:00;14
12.05.2020 22:00;14
13.05.2020 22:00;14
14.05.2020 22:00;14
15.05.2020 22:00;14
16.05.2020 22:00;14
17.05.2020 22:00;14
18.05.2020 22:00;14
19.05.2020 22:00;14
20.05.2020 22:00;14
21.05.2020 22:00;14
22.05.2020 22:00;14
23.05.2020 22:00;14
24.05.2020 22:00;14
25.05.2020 22:00;14
26.05.2020 22:00;14
27.05.2020 22:00;14
28.05.2020 22:00;14
29.05.2020 22:00;14
30.05.2020 22:00;14
31.05.2020 22:00;14
01.06.2020 22:00;14
02.06.2020 22:00;14
03.06.2020 22:00;14
04.06.2020 22:00;14
05.06.2020 22:00;14
06.06.2020 22:00;14
07.06.2020 22:00;14
08.06.2020 22:00;14
09.06.2020 22:00;14
10.06.2020 22:00;14
11.06.2020 22:00;14
12.06.2020 22:00;14
13.06.2020 22:00;14
14.06.2020 22:00;14
15.06.2020 22:00;14
16.06.2020 22:00;14
17.06.2020 22:00;14
18.06.2020 22:00;14
19.06.2020 22:00;14
20.06.2020 22:00;14
21.06.2020 22:00;14
22.06.2020 22:00;14
23.06.2020 22:00;14
24.06.2020 22:00;14
25.06.2020 22:00;14
26.06.2020 22:00;14
27.06.2020 22:00;14
28.06.2020 22:00;14
29.06.2020 22:00;14
30.06.2020 22:00;14
01.07.2020 22:00;14
02.07.2020 22:00;14
03.07.2020 22:00;14
04.07.2020 22:00;14
05.07.2020 22:00;14
06.07.2020 22:00;14
07.07.2020 22:00;14
08.07.2020 22:00;14
09.07.2020 22:00;39
10.07.2020 22:00;39
11.07.2020 22:00;39
12.07.2020 22:00;39
13.07.2020 22:00;39
14.07.2020 22:00;39
15.07.2020 22:00;39
16.07.2020 22:00;39
17.07.2020 22:00;59
18.07.2020 22:00;59
19.07.2020 22:00;59
20.07.2020 22:00;59
21.07.2020 22:00;59
22.07.2020 22:00;59
23.07.2020 22:00;59
24.07.2020 22:00;59
25.07.2020 22:00;59
26.07.2020 22:00;59
27.07.2020 22:00;59
28.07.2020 22:00;59
29.07.2020 22:00;59
30.07.2020 22:00;59
31.07.2020 22:00;59
01.08.2020 22:00;59
02.08.2020 22:00;59
03.08.2020 22:00;35
04.08.2020 22:00;35
05.08.2020 22:00;35
