Generert fra Tidsserie;;
;;
;;
;;
;;
;;
;;
;"/ORMSETFOSS/Va
nnstand/MOH/TS
LU/OBS/OPER/T/BUAVATNET_TY1000_BE0102_A
[Meter]";"/ORMSETFOSS/Va
nnstand/MOH/TS
LU/OBS/OPER/T/ORMSETVATN_TY1000_BE0102_A
[Meter]"
29/01/2010 24;328.81;381.05
30/01/2010 01;328.81;381.05
30/01/2010 02;328.81;381.03
30/01/2010 03;328.81;381.03
30/01/2010 04;328.83;381.01
30/01/2010 05;328.83;381.01
30/01/2010 06;328.83;380.98
30/01/2010 07;328.83;380.98
30/01/2010 08;328.83;380.98
30/01/2010 09;328.85;380.96
30/01/2010 10;328.85;380.94
30/01/2010 11;328.85;380.94
30/01/2010 12;328.85;380.92
30/01/2010 13;328.85;380.92
30/01/2010 14;328.85;380.92
30/01/2010 15;328.87;380.90
30/01/2010 16;328.87;380.90
30/01/2010 17;328.87;380.87
30/01/2010 18;328.88;380.85
30/01/2010 19;328.88;380.85
30/01/2010 20;328.88;380.85
30/01/2010 21;328.88;380.85
30/01/2010 22;328.88;380.83
30/01/2010 23;328.88;380.83
30/01/2010 24;328.90;380.80
31/01/2010 01;328.90;380.80
31/01/2010 02;328.90;380.77
31/01/2010 03;328.90;380.77
31/01/2010 04;328.90;380.77
31/01/2010 05;328.90;380.77
31/01/2010 06;328.90;380.75
31/01/2010 07;328.92;380.73
31/01/2010 08;328.92;380.73
31/01/2010 09;328.92;380.73
31/01/2010 10;328.92;380.71
31/01/2010 11;328.92;380.71
31/01/2010 12;328.92;380.68
31/01/2010 13;328.94;380.68
31/01/2010 14;328.94;380.68
31/01/2010 15;328.94;380.66
31/01/2010 16;328.94;380.66
31/01/2010 17;328.94;380.64
31/01/2010 18;328.94;380.62
31/01/2010 19;328.94;380.62
31/01/2010 20;328.94;380.60
31/01/2010 21;328.94;380.60
31/01/2010 22;328.96;380.57
31/01/2010 23;328.96;380.57
31/01/2010 24;328.96;380.55
01/02/2010 01;328.96;380.55
01/02/2010 02;328.97;380.55
01/02/2010 03;328.97;380.55
01/02/2010 04;328.97;380.55
01/02/2010 05;328.97;380.55
01/02/2010 06;328.97;380.55
01/02/2010 07;328.97;380.53
01/02/2010 08;328.97;380.53
01/02/2010 09;328.99;380.51
01/02/2010 10;328.99;380.51
01/02/2010 11;328.99;380.48
01/02/2010 12;328.99;380.48
01/02/2010 13;328.99;380.46
01/02/2010 14;328.99;380.46
01/02/2010 15;329.00;380.44
01/02/2010 16;329.00;380.44
01/02/2010 17;329.01;380.42
01/02/2010 18;329.01;380.42
01/02/2010 19;329.01;380.40
01/02/2010 20;329.01;380.40
01/02/2010 21;329.01;380.38
01/02/2010 22;329.01;380.38
01/02/2010 23;329.01;380.35
01/02/2010 24;329.01;380.35
02/02/2010 01;329.01;380.35
02/02/2010 02;329.03;380.35
02/02/2010 03;329.03;380.35
02/02/2010 04;329.03;380.35
02/02/2010 05;329.03;380.35
02/02/2010 06;329.03;380.35
02/02/2010 07;329.03;380.35
02/02/2010 08;329.03;380.35
02/02/2010 09;329.03;380.33
02/02/2010 10;329.03;380.33
02/02/2010 11;329.05;380.31
02/02/2010 12;329.05;380.31
02/02/2010 13;329.05;380.31
02/02/2010 14;329.05;380.29
02/02/2010 15;329.06;380.29
